prestador_codigo,prestador_nome,_provider_ranking_id,especialidade,avg_cost_before,avg_cost_after,amount_of_contact,contact_score,rank_position,patient_by_month,claim_per_capita,average_paid_by_month,rate_atendimento_domiciliar,rate_terapias,rate_pronto_socorro,rate_exames_ambulatoriais,rate_consulta,rate_internacao,_provider_id,no_fantasia,no_razao_social,no_municipio,co_sigla_estado,no_bairro,co_cep,no_logradouro,nu_endereco,no_complemento,nu_telefone,no_email,tipo_estabelecimento
16456022000109,CEMISE-CENTRO DE MEDICINA INTEGRADA DE S,a46cf22f5cda396fd0fed7643c35d5aa,MÉDICO CARDIOLOGISTA,7971.68,412.45,454,19.328,6,118.88,289.79,26093.047083333331,,,,0.139,,,ac032f562075a95e3870eef22960f21c,CEMISE,CENTRO DE MEDICINA INTEGRADA DE SERGIPE,ARACAJU,SE,SAO JOSE,49015150,RUA CONSTRUTOR JOAO ALVES,228,"",(79)3304-1000,atendimento@cemise.com.br,
07329589000115,CARDIOLOGISTAS ASSOCIADOS LTDA,2d5ab27b333e995aaf5cadf6ab36b1ba,MÉDICO CARDIOLOGISTA,3896.24,208.05,108,18.727,7,26.96,352.13,8037.8426086956551,,,,1,,,b13f4b865cea8da2b527ec3abb8bfcde,CARDIOLOGISTAS ASSOCIADOS LTDA,CARDIOLOGISTAS ASSOCIADOS LTDA,RIO DAS OSTRAS,RJ,CENTRO,28893076,RODOVIA AMARAL PEIXOTO,4855,"",2227642316,mssalema@hotmail.com,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
03939028703,FERNANDO DE SIQUEIRA BAPTISTA,73a8ee86bab1757b5ce35d42b7c78285,MÉDICO CARDIOLOGISTA,25818.54,1490.63,124,17.321,8,22.13,344.69,6429.1560869565228,,,,1,,,5219d91766ad968b1f75a29671d851b9,FERNANDO DE SIQUEIRA BAPTISTA,FERNANDO DE SIQUEIRA BAPTISTA,MACAE,RJ,CENTRO,27910300,RUA DOUTOR BUENO,131,SALA 101,(22) 2759-3521,"",CONSULTORIO ISOLADO
68742782000178,MEDCOR SERVI\00C7OS CARDIOLOG,c5ad077451ee02af71673a94e91771e5,MÉDICO CARDIOLOGISTA,4949.74,317.92,103,15.569,9,22.71,434.5,8110.7270833333332,,,,0.784,,,4968bc00f379256e795c4ee8b621013b,MEDCOR LAB SHOPPING 45,MEDCOR SERVICOS CARDIOLOGICOS EIRELI,RIO DE JANEIRO,RJ,TIJUCA,20520090,SAENZ PENA,00045,LOJ 310,21 25695758,consultfaturamento@medcorlab.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
40986515000127,CARDIOCENTRO SC LTDA,b17d5e88708c7e17334c00f086da5d7b,MÉDICO CARDIOLOGISTA,4159.55,271.9,159,15.298,10,69.96,442.91,16277.055000000004,,,,0.816,,,a3ca6b648015530e9c2cdfc224947056,CARDIOCENTRO,CARDIOCENTRO LTDA,NATAL,RN,TIROL,59020300,CAMPOS SALES,762,"",84 32114166,luciana@cardiocentronatal.com.br,CLINICA/CENTRO DE ESPECIALIDADE
42771949005609,Centro de Imagem Diagnosticos,9e568a1bce2c5e8b77b38d8be141b51e,MÉDICO CARDIOLOGISTA,7658.54,514.34,142,14.89,11,18.88,259.61,5563.02857142857,,,,1,,,c6250cdfbda8a24a1eb105eeb9647506,CENTRO DE IMAGEM DIAGNOSTICOS,CENTRO DE IMAGEM DIAGNOSTICOS S A,SALVADOR,BA,PARQUE BELA VISTA,40280000,ANTONIO CARLOS MAGALHAES,442,"",71 32708964,ueliton.leal@delfinmd.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
13158985000120,CLINICA DE MED.NUCLEAR END.E DIAB.LTDA,16114ffa8266b80aa50b97fb0d91af9e,MÉDICO CARDIOLOGISTA,7111.63,520.02,270,13.676,12,76,635.54,37026.264074074068,,,,0.239,,0.001,29f785ec87c57ddc48d449ba7cd50b22,CLIMEDI,CLIMEDI CLINICA DE MEDICINA NUCLEAR ENDOCRINOLOGIA E DIABE,ARACAJU,SE,CENTRO,49015040,BARAO DE MAROIM,570,"","","",
33794132000191,CLIVALE PROSAUDE IGUATEMI LTDA,647a82fa3e3cb50e212a6bc92c8aba38,MÉDICO CARDIOLOGISTA,6622.44,490.24,221,13.509,13,33.5,269.15,7304.0417241379319,,,,1,,,1d6f67d640fd90e374a7f203a5fda4ad,CLIVALE,CLIVALE PROSAUDE IGUATEMI SC LTDA,SALVADOR,BA,PITUBA,41820900,AV TANCREDO NEVES SHOPPING IGUATEMI,148,4 PISO,(71) 2102-7799,pedro@clivale.com.br,
13086053000119,CLINICA SANTA HELENA LTDA,0f806d77ba8c6df9e436f6b44eb41734,MÉDICO CARDIOLOGISTA,5179.93,411.43,125,12.59,14,27.83,336.86,6947.8066666666664,,,,1,,,458ef23c83fd25dd5ae6d7e13a128978,CLINICA SANTA HELENA SUISSA,CLINICA SANTA HELENA LTDA,ARACAJU,SE,BAIRRO SAO JOSE,49015240,FREI PAULO,331,"",32161400,"",
61486650007358,DIAGNOSTICOS DA AMERICA,ad03d7a84e9181dc7528193c368113ff,MÉDICO CARDIOLOGISTA,7682.35,614.07,611,12.511,15,135.9,467.69,52074.637931034478,,,,0.39,,,26983fb31776590b4057c8d8a9255b11,BRONSTEIN MEGA COPACABANA,DIAGNOSTICOS DA AMERICA S A,RIO DE JANEIRO,RJ,COPACABANA,22061010,RUA XAVIER DA SILVEIRA,59,"","","",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
11125004568,IRACEMA SANTOS OLIVEIRA,cfa54addf9d7e5cc41c57d96538dae79,MÉDICO CARDIOLOGISTA,8368.58,670.98,143,12.472,16,26.5,141.7,3442.2216666666668,,,,0.864,,,,,,,,,,,,,,,
11510568000179,ANGIOCLAM VILLAS SERVICOS MEDICOS LTDA-ME,3c1811caf2a486f0d2c06e4bff4730a4,MÉDICO CARDIOLOGISTA,6332.66,510.47,162,12.406,17,24.74,407.3,9600.687857142857,,,,0.808,,,99a16eada8b71269400008ec5f130fc2,ANGIOCLAM VILLAS,ANGIOCLAM VILLAS SERVICOS MEDICOS LTDA EPP,LAURO DE FREITAS,BA,BURAQUINHO,42710610,RUA JOAO CHAGAS ORTINS DE FREITAS SALA 1107 1112,577,EDF MAIS EMPRESARIAL,7136128383/31860804,contrato@audasc.com.br,CLINICA/CENTRO DE ESPECIALIDADE
40179459000119,PRO ECHO CARDIODATA SERVICOS MEDICOS LTDA,122a127f8d38ca78ae396da3be8e9b78,MÉDICO CARDIOLOGISTA,9436.98,788.89,266,11.962,18,39.31,460.54,20911.706666666669,,,,0.498,,,31ea14b5f21c74b82892e452ce09160c,PRO ECHO CARDIODATA SERVICOS MEDICOS MATRIZ,PRO ECHO CARDIODATA SERVICOS MEDICOS LTDA,RIO DE JANEIRO,RJ,TIJUCA,20511240,RUA PINTO DE FIGUEIREDO,144,PARTE,21-2139-9999,horeservi@gmail.com,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
03222051000156,INSTITUTO RODOLFO N. DE GERENCIAMENTO E P. CORACAO,e31b0ecfe71bf7147e1afe2164b75a5a,MÉDICO CARDIOLOGISTA,7022.91,589.79,276,11.907,19,74.77,3748.5,192903.63923076921,,0.176,0.001,0.373,,0.309,fe40f7849dcdb59454b348bcdd6ef555,HOSPITAL DO CORACAO,INSTITUTO RODOLFO NEIROTTI DE GERENCIAMENTO E PESQUISA LTDA,ARACAJU,SE,SAO JOSE,49015220,RUA CAMPOS,75,"",(79)21065500,"",
07000379000189,VIDACOR SERVICOS MEDICOS MACAE LTDA-ME,83836a0a31ddf697a4500f5add03ea29,MÉDICO CARDIOLOGISTA,4696.2,405.95,241,11.568,20,16.48,250.16,3733.813333333334,,,,1,,,29bb2b02214a8b487a846167f1c6adb2,VIDACOR,VIDACOR SERVICOS MEDICOS DE MACAE LTDA,MACAE,RJ,PRAIA CAMPISTA,27920360,AVENIDA NOSSA SENHORA DA GLORIA,1225,"",(22) 2793-0194,"",CLINICA/CENTRO DE ESPECIALIDADE
40389082000122,BABY COR CL INF DE DOENC,d724415d868780745be3a30c5d0d6d16,MÉDICO CARDIOLOGISTA,1929.08,175.43,120,10.996,21,21.08,348.33,6865.0912500000031,,,,0.821,,,39271b8ce533613ab6184d4bb0b5fd34,BABY COR CLINICA INFANTIL DE DOENCAS DO CORACAO COPACABANA,BABY COR CARDIOLOGIA PEDIATRICA E FETAL LTDA,RIO DE JANEIRO,RJ,COPACABANA,22031071,SIQUEIRA CAMPOS,93,SALA 1103,21 24312448,"",CLINICA/CENTRO DE ESPECIALIDADE
39232996000104,CEDI-COR CLINICA DE MACAE LTDA,c4ac940d84c9c27b972abefb2e5f8f59,MÉDICO CARDIOLOGISTA,3085.54,286.78,251,10.759,22,45.24,278.91,13366.071538461543,,,,0.873,,,437dba226a87690e8121d92c36f6853c,CENTRO DE DIAGNOSTICO CARDIOLOGICO DE MACAE,CEDI COR CLINICA DE MACAE LTDA,MACAE,RJ,CENTRO,27910200,RUA DOUTOR FRANCISCO PORTELA,681,"",2227726066,cedi-cor@lagosnet.com.br,CLINICA/CENTRO DE ESPECIALIDADE
00869018000124,PRO-MED MEDICINA DIAGNOSTICA,019941aafd910b56d79e39427e1cf36e,MÉDICO CARDIOLOGISTA,6198.01,577.65,167,10.73,23,21.89,378.42,7795.5248000000011,,,,1,,,379a7edb1b5abb2f50b6ba494e890653,PRO MED MEDICINA DIAGNOSTICA BARRA,PRO MED MEDICINA DIAGNOSTICA LTDA,RIO DE JANEIRO,RJ,BARRA DA TIJUCA,22631000,DAS AMERICAS,00505,SALA 0209 SALA 0210,2124571400,comercial.promedrio@gmail.com,CLINICA/CENTRO DE ESPECIALIDADE
39685912000180,CENTROCOR SERVICOS MEDICOS LTDA,4b6aa8e9a7aab95d54e81d021acad4a5,MÉDICO CARDIOLOGISTA,5572.03,544.74,107,10.229,24,19.5,344.58,6044.5283333333355,,,,0.814,,,eb9e9c6b54022a9e540fdce791ae20c2,CENTROCOR,CENTROCOR SERVICOS MEDICOS LTDA,CAMPOS DOS GOYTACAZES,RJ,CENTRO,28010272,RUA SALDANHA MARINHO,322,"",22 27374108,centrocor@cmp.viacabocom.com.b,CLINICA/CENTRO DE ESPECIALIDADE
12281395553,AMANCIO VALOIS MENDEZ,bc8aa12807238bd577bc1ac838c3339c,MÉDICO CARDIOLOGISTA,9254.9,1066.61,104,8.677,25,21,131.35,2451.7929166666663,,,,0.834,,,,,,,,,,,,,,,
01722424000122,HOSPITAL MEMORIAL ARTHUR RAMOS S/A,10ff08c6b333a7a3f4ae2b8f128333cc,MÉDICO CARDIOLOGISTA,5753.49,750.68,144,7.664,26,60.54,9548.37,355765.15740740747,,0.158,0.054,0.06,,0.362,1cadf5c4bf81113dbe0c0cd06091ce37,HOSPITAL MEMORIAL ARTHUR RAMOS,HOSPITAL MEMORIAL ARTHUR RAMOS S A,MACEIO,AL,FAROL,57052827,RUA HUGO CORREA PAES,253,"",(82)03381144,"",
24528770000170,ECO-CENTRO CARDIOLOGICO DE NATAL LTDA,1e7eaf919847cb751e1a4cff4e243c9d,MÉDICO CARDIOLOGISTA,4030.86,571.87,236,7.049,27,108.42,372.01,20290.172083333335,,,,0.811,,,9f6c3340b9a970419d24b11462f13d3c,HC CARDIO,HC CARDIO LTDA,NATAL,RN,LAGOA NOVA,59075050,CORONEL AURIS COELHO,178,"",84 31131000,clinica@hccardio.com.br,CLINICA/CENTRO DE ESPECIALIDADE
36290906000135,LABEX LABORATORIOS DE EXAMES LTDA S/C,3d527ffd2e27c9eb9a7a918aab2ff71b,MÉDICO CARDIOLOGISTA,7363.81,1077.59,198,6.834,28,50.15,701.8,27993.828888888889,,,,0.411,,0.024,c963289f2448338a4713beb2b677982c,LABEX MEDICINA DIAGNOSTICA,LABEX LABORATORIOS DE EXAMES LTDA S C,MACAE,RJ,CENTRO,27910300,CONDE DE ARARUAMA,440,"",27576300,"",UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
00410817000138,CENTRO MEDICO HOSPITALAR DE VILA VELHA SA,43a1480eccd225b0b5535d0074209bb8,MÉDICO CARDIOLOGISTA,2693.97,400.37,156,6.729,29,46.35,2245.13,68735.522307692328,,,0.001,0.041,,0.408,3e3b727e7c38daad325e404c6be20273,CENTRO MEDICO HOSPITALAR DE VILA VELHA S A,CENTRO MEDICO HOSPITALAR DE VILA VELHA S A,VILA VELHA,ES,DIVINO ESPIRITO SANT,29107250,RUA MOEMA,S/N,QUADRA 41,2721278579,diretoriamedica@vilavelhahospital.com.br,
83367342000767,Hospital Adventista de Manaus,171c0a94a314e0648b436b6bef373e05,MÉDICO CARDIOLOGISTA,3891.77,608.13,244,6.4,30,164.68,8384.97,542131.46586206881,,0.107,0.008,0.053,,0.224,014eb19f6e09fbb87e89882f591b0ea1,HOSPITAL ADVENTISTA DE MANAUS,ASSOCIACAO ADVENTISTA NORTE BRAS DE PREV E ASSIST A SAUDE,MANAUS,AM,DISTRITO INDUSTRIAL,69075351,AV GOVERNADOR DANILO AREOSA,0139,"",(92)21232585,relacionamentocomercial@ham.org.br,
05469172000122,Hba S a Assistencia Medica e Hospitalar,8ba8982416f0532969dd6d0e95e847d7,MÉDICO CARDIOLOGISTA,15196.73,2525.43,241,6.017,31,37.41,18795.19,604038.50241379312,,0.02,0.07,0.089,,0.381,f6504a1021259c190b780f688dfefbef,HOSPITAL DA BAHIA,HBA S A ASSISTENCIA MEDICA E HOSPITALAR,SALVADOR,BA,PITUBA,41810011,AVENIDA PROFESSOR MAGALHAES NETO,1541,"",(71) 2109-1000,hospitaldabahia@hospitaldabahia.com.br,
66499658000106,ANGIOCORPORE INT MED CARD ,44dbd53c440cc1fcb0d6793a73a83091,MÉDICO CARDIOLOGISTA,4408,744.43,396,5.921,32,49.89,744.75,45926.090000000004,,,,0.855,,,1c10c81121d5768bae149deedcb5a270,ANGIOCORPORE UNIDADE 03,ANGIOCORPORE INSTITUTO DE MEDICINA CARDIOVASCULAR LTDA,SANTOS,SP,GONZAGA,11060003,AVENIDA DONA ANA COSTA,361,CJ 33 34,(13) 3208-0800,monica.matos@angiocorpore,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
15200249000118,CLIVALE CL ALBERTO SERRAVALLE LTDA,8d62c5a99340879bf0829938d2b37f45,MÉDICO CARDIOLOGISTA,6438.93,1174.08,101,5.484,33,20.71,268.17,4290.694583333333,,,,1,,,029d71d767df7e5003719b35b5a31985,CLINICA CLIVALE,CLIVALE CLINICA ALBERTO SERRAVALE LTDA,SALVADOR,BA,CALCADA,40411366,LARGO DA CALCADA BARAO DE COTEGIPE 1 ANDAR,42,CENTRO EMPRESARIAL,(71) 3310-0000,faturamento@clivalecalcada.com,
15166416000151,REAL SOCIEDADE PORTUGUESA BENEF 16 DE SETEMBRO,50ed79feec4313d56f69677394438999,MÉDICO CARDIOLOGISTA,12221.22,2266.63,406,5.392,34,86.14,18484.45,1286159.7206451613,,0.011,0.034,0.028,,0.319,87481441e80f013700dd6710fec7dbb9,HOSPITAL PORTUGUES,REAL SOCIEDADE PORTUGUESA DE BENEFICIENCIA,SALVADOR,BA,BARRA AVENIDA,40140901,AV PRINCESA ISABEL,914,"",(71) 3203-5555,hospital@hportugues.com.br,
18290268000170,CASA DE SAUDE DE SANTOS,d682b3f9852dbc1bf583605ed8a7ebb3,MÉDICO CARDIOLOGISTA,4346.7,834.04,398,5.212,35,73.32,6944.49,502186.00771428575,,0.031,0,0.038,,0.424,ddc33d0ec97ef5d59ff91f6cc11f4b09,CASA DE SAUDE SANTOS,ASSOCIACAO CASA DE SAUDE DE SANTOS,SANTOS,SP,BOQUEIRAO,11050071,RUA ARMANDO SALES DE OLIVEIRA,131,"",(13) 3202-2500,contabilidade@casadesaudedesantos.com.br,
13356779000124,REDE PRIMAVERA - ASSISTENCIA MEDICA HOSPITALAR,d80f527dd9838ac2502b3257d6247be7,MÉDICO CARDIOLOGISTA,6862.56,1337.59,844,5.131,36,352.05,9438.91,1972731.414375,,0.001,0.049,0.058,,0.302,08bcb3d694d780bb452cac18b7b9d030,REDE PRIMAVERA HOSPITAL PRIMAVERA,REDE PRIMAVERA ASSISTENCIA MEDICA HOSPITALAR LTDA,ARACAJU,SE,JARDINS,49026010,MINISTRO GERALDO BARRETO SOBRAL,2277,"",79 21074621,contabil@diagnosenet.com. br,
61599908000158,REAL E BENEMERITA ASS PORTUGUESA DE BENEFICENCIA,9b798865a485e4699d201cb6f977c7d8,MÉDICO CARDIOLOGISTA,5568.02,1126.93,223,4.941,37,17.67,334.59,3881.276,,,,1,,,d38e3d1e1c6654de9622221d6408dd20,HOSPITAL BP,REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA,SAO PAULO,SP,LIBERDADE,01323900,MAEST CARDIM,769,"","","",
04666863000153,HOSPITAL SANTA JULIA LTDA,6d70a4e1e7c956b6e67299486d4ff4c4,MÉDICO CARDIOLOGISTA,2601.96,558.94,188,4.655,38,68,6342.35,230108.36312500003,,0.04,0.01,0.135,,0.328,3013e8429162027fb7a92072c424c243,HOSPITAL SANTA JULIA,HOSPITAL SANTA JULIA LTDA,MANAUS,AM,CENTRO,69025050,AV AYRAO,507,"",(92) 2121-9090,faturamentosus@hospitalsantajulia.com.br,
58194622000188,SOCIEDADE PORTUGUESA DE BENEFICENCIA DE SANTOS,fb0697832e1752982b79f132dfa43bd3,MÉDICO CARDIOLOGISTA,7229.72,1705.77,173,4.238,39,50.73,8386.41,272558.42807692313,,0.028,0.032,0.036,,0.27,23f9451c2365310bb33cc029df473cf8,HOSPITAL SANTO ANTONIO SANTOS,SOCIEDADE PORTUGUESA DE BENEFICENCIA,SANTOS,SP,VILA BELMIRO,11065910,AVENIDA DOUTOR BERNARDINO DE CAMPOS,47,"",(13)2102-3434,administracao@spb.org.br,
01507901000137,INSTITUTO DO CORACAO DE NATAL LTDA,d80a25105d04595b0d4aa67721ed959d,MÉDICO CARDIOLOGISTA,5590.33,1334.34,113,4.19,40,26.44,2652.21,47850.284166666657,,,,0.727,,0.023,e3caea48c877e9544503f9ae50641f92,INCOR NATAL,INSTITUTO DO CORACAO DE NATAL LTDA,NATAL,RN,TIROL,59020100,AFONSO PENA,754,ANDAR 01,84 3204-0350,adm@incornatal.com.br,
27372066000169,Hospital Sao Rafael Sa,90be0bd0a12919f20f6c9d68c4418653,MÉDICO CARDIOLOGISTA,21671.69,5357.27,407,4.045,41,59.19,272.24,13359.398214285717,,,,1,,,f3f7621a92e0e0f3df5e619a803fd245,HOSPITAL SAO RAFAEL,HOSPITAL SAO RAFAEL S A,SALVADOR,BA,SAO MARCOS,41253190,SAO RAFAEL,2152,1 SUBSOLO,71 32816151,alfredomartini@terra.com.br,
02106150000614,CENTRO DE MEDICINA HUMANA SC LTDA,4c524f4506f89a4560a1896b85cd22ad,MÉDICO CARDIOLOGISTA,5205.97,1572.14,107,3.311,42,21.02,2133.04,48157.373076923075,,0.017,0.181,0.129,,0.086,a05c7cca979c263822f8d28b37a71bd7,UNIDADE MEDICA INTEGRADA UMI CMH,CENTRO DE MEDICINA HUMANA SC LTDA,CANDEIAS,BA,DISTRITO INDUSTRIAL,43813300,RODOVIA BA 522,S/N,"",7136057100/981718150,comercial@hospitalmedicinahumana.com.br,
40294225000201,UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MEDICO,336572429025813c4a1a81445da0513d,MÉDICO CARDIOLOGISTA,2774.18,856.6,194,3.239,43,43.47,3241.15,103493.41,,0.058,0.058,0.03,,0.364,413367a4d5bb8d80852387aee1299f87,HOSPITAL UNIMED,UNIMED CAMPOS COOPERATIVA TRABALHO MEDICO,CAMPOS DOS GOYTACAZES,RJ,PQ ROSARIO,28027142,RUA VISCONDE DE ITABORAI,347,"",22 21010650,"",
13131370000100,SAO LUCAS MEDICO HOSPITALAR LTDA,6b3a44b10bc2da3c6ba8159c47e85101,MÉDICO CARDIOLOGISTA,3677.99,1258.86,991,2.922,44,266.24,16114.06,3844592.8844827595,,0.003,0,0.057,,0.463,fee382e4e88ff4cd9a2742e5769bdd05,HOSPITAL SAO LUCAS,SAO LUCAS MEDICO HOSPITALAR S A,ARACAJU,SE,SAO JOSE,49015400,STANLEY SILVEIRA,33,"","","",
13518634000182,HOSPITAL DAS CLINICAS DE ALAGOINHAS S.A.,d5af43a03862e97a376ecdf0e8aac726,MÉDICO CARDIOLOGISTA,4769.86,2210.94,205,2.157,45,47.49,13152.33,619066.6948275863,,0.012,0.07,0.056,,0.248,6f8927608c75fad57fa482a5de36f0d8,HCA,HOSPITAL DAS CLINICAS DE ALAGOINHAS S A,ALAGOINHAS,BA,CENTRO,48000101,RUI BARBOSA,11,"",75 34239304,hca@hca.com.br,
11106530,DIVISAO DELBONI AURIEMO,db9fe4060d2fb0ca2d05c996426bf012,MÉDICO CARDIOLOGISTA,69.57,913.65,132,0.076,46,4.95,579.82,2639.1586206896554,,,,0.427,,0.075,,,,,,,,,,,,,
